State,countyFIPS,stateFIPS,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,02-01-20,02-02-20,02-03-20,02-04-20,02-05-20,02-06-20,02-07-20,02-08-20,02-09-20,02-10-20,02-11-20,02-12-20,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,03-01-20,03-02-20,03-03-20,03-04-20,03-05-20,03-06-20,03-07-20,03-08-20,03-09-20,03-10-20,03-11-20,03-12-20,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,04-01-20,04-02-20,04-03-20,04-04-20,04-05-20,04-06-20,04-07-20,04-08-20,04-09-20,04-10-20,04-11-20,04-12-20,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,05-01-20,05-02-20,05-03-20,05-04-20,05-05-20,05-06-20,05-07-20,05-08-20,05-09-20,05-10-20,05-11-20,05-12-20,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,06-01-20,06-02-20,06-03-20,06-04-20,06-05-20,06-06-20,06-07-20,06-08-20,06-09-20,06-10-20,06-11-20,06-12-20,6/13/2020,6/14/2020,6/15/2020,population
AK,64610,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,6,10,16,20,23,37,42,59,69,85,102,114,119,133,142,147,157,171,185,191,213,226,236,247,258,273,278,286,294,301,310,315,320,322,330,336,338,340,340,342,346,352,356,356,365,366,369,371,372,373,375,378,379,380,382,384,384,388,388,388,397,400,400,402,402,404,408,408,409,411,412,425,430,434,460,467,487,505,513,524,536,544,563,573,593,610,625,652,661,664,731545
AL,71489,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,22,29,39,51,78,106,131,167,196,242,386,531,639,717,825,941,997,1106,1270,1534,1632,1840,2003,2197,2499,2838,3007,3262,3582,3800,3951,4237,4400,4515,4719,4897,5074,5317,5598,5825,6026,6213,6417,6537,6744,6916,7063,7294,7611,7885,8110,8436,8691,9046,9384,9668,9889,10164,10468,10699,11094,11387,11671,11768,12078,12374,13049,13410,13670,14152,14507,15194,15648,16029,16553,17031,17358,17849,18246,18427,18553,18766,19073,19709,20166,20590,21071,21626,22474,23333,24220,25235,26272,4903185
AR,380625,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,12,16,22,28,37,62,100,118,165,192,222,296,328,375,403,445,504,560,621,678,732,740,853,927,997,1077,1146,1201,1227,1276,1472,1495,1593,1615,1690,1776,1779,1969,2260,2391,2598,2807,2907,2998,3064,3122,3201,3269,3304,3358,3417,3461,3522,3607,3692,3745,3745,4007,4038,4161,4235,4365,4462,4576,4758,4812,4922,5002,5456,5610,5772,5920,6028,6177,6277,6531,6776,7010,7252,7442,7815,8062,8422,8651,9101,9424,9736,10076,10366,10814,11546,12094,12499,12917,3017804
AZ,60208,64,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,6,6,10,10,10,12,12,18,20,27,44,63,103,152,234,326,401,508,663,773,919,1154,1289,1414,1596,1769,2018,2269,2456,2575,2726,3018,3111,3393,3539,3701,3806,3962,4234,4507,4718,4928,5064,5251,5459,5768,6043,6280,6526,6716,6948,7202,7648,7961,8364,8640,8919,9304,9706,9944,10526,10960,11118,11379,11735,12175,12673,13168,13631,13937,14170,14566,14897,15315,15607,16039,16339,16560,16782,17261,17763,18465,19255,20119,20123,21249,22220,22753,24331,25451,26889,27677,28296,29852,31263,32918,34458,35691,36705,7278717
CA,357364,360,0,0,0,0,2,3,3,4,4,4,4,4,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,9,9,9,12,12,12,13,13,15,16,18,22,22,30,34,48,62,79,119,131,194,221,326,352,406,504,621,740,923,1107,1318,1597,1804,2105,2587,2990,3518,4368,5226,6058,6707,7643,8815,10172,11397,12755,14055,15356,16545,17706,19191,20337,21566,22562,23433,24437,25859,27097,28126,29420,30829,31591,33869,35814,37688,39556,41317,42565,43673,45172,46414,48795,50322,52253,53696,54947,56191,58752,60701,62373,64567,66799,67995,69417,71038,73093,74920,76959,78795,80175,81912,83870,86092,88324,90778,92664,94449,96673,99851,101877,104014,106651,110136,112703,115207,117521,119846,122993,126313,128965,131348,133884,136863,139736,143238,146999,150314,152969,155687,39512223
CO,515983,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,14,18,24,49,77,101,131,160,183,183,277,362,475,591,720,911,1086,1429,1732,2061,2306,2624,2965,3341,3724,4173,4565,4950,5172,5429,5655,6098,6322,6638,6898,7128,7290,7493,8675,9046,9426,9723,10100,10440,10871,11182,12171,12884,13355,13793,14304,14745,15261,15766,16224,16624,16902,17364,17830,18371,18827,19371,19697,19875,20152,20467,20830,21224,21624,21927,22196,22475,22797,23178,23485,23954,24157,24248,24542,24766,25121,25612,26098,26378,26577,26785,27058,27359,27615,27847,28000,28179,28343,28496,28644,28820,29016,29129,29299,5758736
CT,72064,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,8,20,26,41,68,96,159,194,223,327,415,618,875,1012,1291,1524,1993,2571,3128,3557,3824,4915,5276,5675,6906,7781,8781,9784,10538,11510,12035,13381,13989,14753,15884,16809,17550,17962,19815,20360,22469,23100,23921,24582,25269,25997,26312,26767,27700,28764,29287,29287,29973,30621,30995,31783,32411,32984,33554,33765,34333,34855,35464,36085,36703,37419,38116,38430,39016,39203,39640,40022,40465,40873,41234,41288,41559,41762,42022,42201,42732,42978,43091,43238,43460,43817,43967,44092,44177,44347,44461,44688,44994,45087,45235,3565287
DC,11001,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,10,10,10,16,17,22,31,39,71,77,98,116,137,183,231,267,304,342,401,495,586,586,653,757,902,998,1097,1211,1440,1523,1660,1778,1875,1875,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,8110,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589,9654,9709,9767,9799,705749
DE,30009,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,7,8,17,26,30,39,45,56,87,104,119,119,165,214,232,264,319,368,393,450,593,673,783,928,1116,1209,1326,1479,1638,1761,1926,2014,2075,2323,2538,2538,2745,2931,3200,3308,3442,3576,4034,4162,4575,4655,4734,4918,5038,5208,5288,5371,5778,5939,6111,6280,6447,6555,6741,6952,7214,7366,7537,7670,7870,8037,8194,8386,8529,8690,8809,8965,9066,9096,9171,9236,9422,9498,9605,9685,9712,9746,9773,9845,9942,9972,10020,10056,10055,10173,10229,10264,10340,973764
FL,808550,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,9,14,25,49,58,64,96,136,167,216,328,432,652,762,1005,1227,1412,1975,2439,3198,4038,4948,5704,6741,7559,9008,10268,11544,12350,13629,14747,15698,16826,17968,18986,19895,21019,21628,22519,23340,24747,25491,26312,27056,27868,28576,29647,30533,30836,31527,32136,32844,33192,33690,34725,35460,36078,36892,37429,38001,38828,39196,39998,40596,40982,41897,42388,43209,44134,44810,45585,46436,46940,47470,48671,49447,50127,50866,51745,52254,52633,53285,54496,55421,56161,56828,57447,58762,60182,61487,62758,63934,64901,65998,67370,69069,70970,73550,75567,77326,21477737
GA,2092677,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,6,5,17,19,33,56,56,66,98,121,145,197,283,483,555,619,799,1093,1374,1633,2197,2445,2682,3024,4110,4744,5440,5960,6374,6731,7554,9156,10204,10885,11856,12261,12550,13621,14578,15120,16144,17152,17580,18216,19084,19662,20493,21477,22014,22566,22830,23592,24217,25128,25832,26805,27627,27928,28710,29196,30187,30725,31292,31823,32658,33268,33680,34125,34587,35077,35349,35528,36071,36706,37401,38234,39021,39572,40362,41187,42296,44595,45265,45856,46332,47079,47889,48394,49011,49987,50748,51343,51905,52775,53424,54119,55148,56051,56939,57753,58599,10617423
HI,75025,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,6,9,12,15,25,35,45,53,65,84,101,106,118,151,173,202,224,258,285,319,351,371,387,410,435,442,465,486,498,503,516,529,540,552,573,579,583,585,591,595,599,603,605,606,606,612,617,618,618,619,619,624,625,627,627,630,631,633,634,637,636,637,637,638,638,639,640,642,642,643,643,643,643,643,646,648,651,651,651,652,653,655,664,673,675,676,682,685,692,706,723,728,736,1415872
IA,1890801,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,14,16,17,18,18,23,29,38,44,44,68,90,105,122,145,179,235,298,336,424,496,548,614,699,785,868,945,1048,1145,1270,1388,1510,1587,1710,1898,1994,2141,2332,2508,2900,3153,3634,3744,3921,4442,5087,5460,5856,6375,6841,7142,7877,8633,9168,9701,10202,10401,11052,11447,11666,11958,12363,12900,13279,13658,14038,14321,14643,14948,15291,15525,15949,16405,16792,17208,17544,17652,18253,18498,18791,19135,19481,19682,19947,20010,20699,21086,21427,21600,21907,22170,22502,22776,23162,23553,23900,24046,3155070
ID,705936,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,11,23,31,42,47,50,73,122,189,234,265,314,415,525,668,889,1011,1076,1100,1169,1210,1232,1353,1396,1407,1425,1453,1464,1587,1609,1655,1668,1672,1736,1766,1800,1831,1864,1885,1893,1917,1951,1982,2013,2034,2061,2061,2106,2127,2158,2178,2205,2230,2230,2260,2293,2324,2351,2388,2417,2417,2453,2476,2505,2533,2595,2626,2626,2626,2698,2730,2767,2767,2838,2839,2905,2932,2989,3053,3111,3138,3138,3188,3220,3259,3301,3351,3398,3398,3462,1787065
IL,1744404,1751,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,7,13,19,24,32,46,63,92,104,159,287,421,584,752,1049,1285,1536,1864,2540,3027,3491,4596,5057,5993,6972,7678,8871,10357,11254,12259,13553,15078,16422,17884,19179,20851,22022,23246,24591,25729,27573,29135,30346,31503,33053,35107,36932,39650,41773,43896,45879,48097,50349,52908,56049,58500,61485,63830,65958,68227,70868,73756,76081,77733,79002,83016,84689,87929,90359,92447,94182,96473,98018,100410,102681,105441,107792,110295,112008,113185,114305,115832,117451,118913,120258,121232,122842,123822,124751,125905,126885,127746,128408,129206,129831,130600,131194,131869,132536,133016,12671821
IN,1664464,1674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,10,10,12,12,19,19,30,30,35,55,124,124,200,258,360,477,962,962,1232,1514,1783,2159,2564,3038,3436,3948,4409,4942,5507,5943,6351,6905,7431,7920,8221,8514,8941,9527,10149,10639,11206,11677,12090,12436,12436,13621,14311,15012,15960,16579,17226,17818,18629,19293,19930,20502,21028,21865,22499,23144,23730,24122,24620,25117,25470,26047,26650,27274,27765,28245,28702,29269,29930,30404,30893,31369,31706,32067,32424,33057,33551,33551,34569,34820,35234,35704,36089,36573,36992,37388,37611,38024,38332,38743,39146,39543,39909,40430,6732219
KS,2111025,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,6,6,8,13,16,21,34,44,54,63,79,92,125,170,205,263,320,369,428,482,550,620,698,747,845,900,1044,1105,1163,1263,1334,1375,1425,1493,1587,1703,1789,1847,1984,2024,2210,2481,2773,3055,3173,3327,3490,3734,4235,4446,4745,5029,5244,5456,5734,6144,6498,6748,6979,7113,7302,7492,7702,7907,7990,8041,8394,8414,8619,8678,9035,9048,9052,9077,9280,9398,9435,9763,9763,9763,10052,10071,10224,10224,10431,10431,10465,10680,10680,10846,10846,11082,11082,11082,11449,2913314
KY,2534400,2541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,10,13,15,21,22,26,34,47,54,53,66,121,153,192,242,296,357,389,430,529,623,714,775,871,970,1081,1140,1338,1509,1692,1841,1951,2036,2193,2278,2405,2512,2679,2942,3027,3177,3353,3467,3753,3882,4054,4133,4360,4523,4695,4864,4864,5112,5236,5808,5927,6120,6285,6436,6436,6672,6849,7065,7212,7433,7672,7672,7915,8047,8162,8284,8421,8567,8567,8567,8948,9074,9179,9457,9694,9694,10032,10170,10406,10702,10974,11278,11278,11465,11700,11875,11937,12165,12445,12445,12647,4467673
LA,1412096,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,13,19,36,85,103,136,196,280,391,535,762,837,1170,1384,1795,2303,2744,3313,3537,4023,5235,6424,9094,10169,12493,13010,14866,16284,17030,18280,19249,20011,20592,21012,21514,21942,22511,23113,23579,23927,24520,24851,25253,25735,26138,26511,26773,27068,27286,27659,27998,28704,29138,29338,29671,29995,30397,30650,30853,31406,31590,31805,32035,32620,33420,33739,34117,34432,34709,35038,35316,36490,36808,36979,37072,37710,38044,38486,38790,39564,39564,39899,40321,40727,41108,41532,41989,42485,42816,43050,43612,44029,44472,44995,46283,46619,47172,4648794
MA,350196,375,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,6,22,41,92,95,109,125,139,163,197,218,256,328,416,524,645,776,1157,1835,2414,3240,4257,4851,5752,6620,7738,8966,10402,11736,12500,13837,15200,16790,18941,20973,22859,25474,26866,28163,29918,32181,34402,36372,38077,39643,41199,42944,46023,50969,53348,54823,56462,58302,60252,62177,64311,66263,68087,69087,70271,72024,73721,75333,76743,77793,78462,79332,80497,82182,83421,84933,86010,87052,87925,88970,90084,90889,91662,92675,93271,93693,94220,94895,95512,96301,97005,100797,101178,101592,102059,102556,103132,103436,103606,103885,104156,104667,105059,105394,105593,105690,6892503
MD,577079,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,9,12,12,17,31,31,37,57,85,107,190,190,244,288,349,423,580,773,995,1242,1412,1660,1985,2331,2758,3125,3609,4045,4371,5529,6185,6968,7694,8225,8935,9472,10031,10784,11572,12307,12829,13678,14193,14775,15735,16616,17766,18581,19487,20109,20846,21742,23465,24473,25462,26389,27116,28163,29373,30459,31534,32587,33373,34061,34812,35903,36984,37957,38804,39762,41545,42317,43530,44424,45495,47150,47684,47684,48423,49708,50987,52015,52715,53326,54171,54981,55858,56760,57481,57969,58397,58902,59463,60197,60613,61269,61701,62032,6045680
ME,368256,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,16,31,42,51,56,70,89,107,118,142,156,168,211,253,275,275,344,376,432,456,470,499,519,537,560,585,615,632,696,733,769,793,826,846,866,874,887,906,936,964,989,1014,1022,1038,1054,1094,1121,1151,1184,1204,1225,1253,1329,1373,1407,1435,1461,1476,1514,1564,1601,1646,1682,1711,1740,1818,1876,1947,1971,1988,2000,2107,2135,2187,2223,2278,2320,2345,2374,2415,2445,2481,2523,2570,2588,2606,2636,2667,2721,2757,2793,2810,1344212
MI,2164889,2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,25,33,55,54,65,80,334,549,787,1035,1328,1790,2294,2855,3656,4650,5465,6495,7613,9331,10789,12739,14222,15713,17218,18969,20345,21503,22781,23993,24638,25633,27001,28057,29260,30020,30789,31418,31993,32964,33961,35288,36634,37199,37760,38210,39260,40391,41367,42333,43187,43703,43947,44396,45052,45641,46322,46754,47135,47544,48017,48390,49579,50076,50495,51138,51907,52346,52996,53494,53901,54361,54676,54878,55083,55513,56013,56553,56883,57391,57528,57728,58011,58241,63533,63971,64395,64674,64982,65180,65405,65667,65833,66048,66085,9986857
MN,2356569,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,12,18,21,35,54,60,77,89,115,137,169,235,261,286,344,396,441,503,576,629,687,742,788,863,928,980,1069,1155,1245,1245,1427,1618,1647,1693,1805,1909,2068,2207,2347,2463,2523,2618,2781,2953,3127,3237,3369,3625,4636,5126,5711,6208,6640,7212,7851,8577,9363,10085,10785,11265,11794,12488,12914,13432,14236,14968,15666,16370,17026,17666,18199,19004,19843,20573,21312,21959,22461,22945,23528,24184,24847,25205,25501,25868,26273,26980,27500,27884,28222,28520,28866,29313,29794,30166,30469,30693,5639632
