State,countyFIPS,stateFIPS,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,02-01-20,02-02-20,02-03-20,02-04-20,02-05-20,02-06-20,02-07-20,02-08-20,02-09-20,02-10-20,02-11-20,02-12-20,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,03-01-20,03-02-20,03-03-20,03-04-20,03-05-20,03-06-20,03-07-20,03-08-20,03-09-20,03-10-20,03-11-20,03-12-20,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,04-01-20,04-02-20,04-03-20,04-04-20,04-05-20,04-06-20,04-07-20,04-08-20,04-09-20,04-10-20,04-11-20,04-12-20,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,05-01-20,05-02-20,05-03-20,05-04-20,05-05-20,05-06-20,05-07-20,05-08-20,05-09-20,05-10-20,05-11-20,05-12-20,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,06-01-20,06-02-20,06-03-20,06-04-20,06-05-20,06-06-20,06-07-20,06-08-20,06-09-20,06-10-20,06-11-20,06-12-20,6/13/2020,6/14/2020,6/15/2020,population
MO,3348537,3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,5,6,8,8,22,26,72,90,106,183,255,352,502,663,829,888,1032,1336,1591,1833,2111,2285,2369,2723,3037,3327,3539,3789,4024,4159,4385,4683,4893,5108,5274,5509,5653,5799,5937,6131,6312,6614,6794,6961,7137,7275,7398,7529,7796,8107,8341,8707,8877,9056,9289,9431,9613,9789,9863,9952,10088,10257,10401,10620,10738,10888,11018,11221,11339,11555,11747,11979,12157,12281,12487,12668,12787,12956,13136,13317,13567,13762,14047,14246,14434,14543,14720,14900,15183,15388,15582,15808,15981,16189,6137428
MS,2302724,2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,10,12,21,34,50,80,140,208,249,314,376,484,484,484,756,845,935,1064,1178,1460,1566,1748,1848,1915,2003,2258,2465,2642,2781,2940,3087,3360,3620,3789,3972,4273,4508,4711,4893,5150,5429,5710,5906,6090,6340,6561,6814,7209,7438,7550,7876,8186,8416,8681,9089,9366,9498,9673,9906,10089,10469,10799,11113,11286,11422,11701,11961,12220,12615,12997,13249,13453,13720,14038,14366,14786,15202,15484,15728,16014,16309,16554,16764,17033,17268,17754,18107,18480,18480,19091,19348,19515,19799,2976149
MT,1683136,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,8,9,12,15,19,27,34,45,51,65,89,120,147,161,177,198,217,241,262,281,296,318,318,331,331,331,331,331,331,331,331,413,422,426,433,433,437,439,442,444,445,448,449,451,451,452,452,454,454,456,456,456,456,458,459,459,460,462,463,463,467,469,469,471,472,479,479,479,484,484,484,484,486,490,498,510,520,524,528,530,544,546,547,552,555,561,569,572,582,597,611,619,1068778
NC,3710000,3737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,7,8,17,16,17,32,33,40,40,63,137,137,184,255,290,392,495,622,763,929,1163,1302,1491,1580,1855,2093,2402,2585,2870,3221,3426,3654,3909,4311,4524,4808,5023,5099,5374,5853,6119,6443,6680,6843,7073,7379,7782,8232,8480,8678,9177,9515,10015,10920,11504,11664,11843,12253,12754,13390,13866,14358,14757,15036,15346,15781,16505,17130,17977,18512,19019,19699,20124,20855,21613,22715,23211,23930,24112,24623,25409,26487,27669,27669,29251,29875,30770,31852,33247,34612,35530,36357,37090,38168,39473,41245,42818,44115,45102,10488084
ND,2016809,2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,7,19,26,28,30,32,36,45,58,68,93,97,109,126,147,159,173,186,207,225,237,251,269,278,293,308,331,341,365,393,393,393,393,627,643,679,709,748,803,867,941,990,1033,1067,1107,1153,1191,1225,1266,1322,1370,1424,1463,1489,1515,1570,1645,1712,1761,1847,1897,1927,1992,2078,2188,2267,2315,2364,2402,2420,2437,2479,2518,2552,2575,2624,2646,2679,2706,2745,2816,2861,2879,2901,2941,2980,3016,3058,3080,3101,762062
NE,2891649,2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,10,11,13,18,18,18,24,30,31,36,45,49,52,55,62,76,83,108,129,153,177,214,254,284,318,354,401,477,522,576,646,703,757,832,874,916,960,1003,1163,1200,1293,1436,1676,1895,2110,2394,2517,2880,3280,3760,4232,4781,5260,5597,5988,6335,6667,7067,7695,8091,8171,8390,8531,8908,9241,9607,10050,10171,10457,10685,10947,11249,11492,11791,11942,12168,12423,12786,13052,13438,13688,13880,14131,14402,14671,14923,15186,15351,15443,15565,15698,15839,16130,16335,16456,16547,16677,1934408
NH,330100,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,4,4,5,5,6,6,7,13,17,26,39,44,55,65,78,102,108,137,157,187,214,268,313,367,367,479,540,620,669,715,747,788,819,885,928,985,1019,1091,1139,1211,1285,1342,1392,1447,1491,1588,1670,1719,1790,1864,1936,2009,2054,2146,2310,2429,2518,2588,2636,2741,2843,2946,3011,3071,3159,3239,3299,3382,3464,3556,3596,3652,3721,3721,3935,4014,4089,4149,4197,4231,4286,4389,4389,4551,4651,4685,4749,4795,4875,4952,5018,5043,5079,5132,5178,5209,5251,5299,5318,5345,1359711
NJ,714441,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,15,23,23,29,56,72,98,176,267,417,742,890,1327,1914,2851,3675,4402,6331,8825,10836,13386,16636,18696,22255,25590,29895,34997,37505,41091,44416,47437,51393,54588,58151,61850,64655,68396,71030,75317,78796,81720,85301,88722,92373,95411,99989,102772,106074,109465,111478,114246,116755,119282,121190,123717,126744,128269,130593,131846,133635,135454,137085,138532,139945,140743,141490,142704,143905,145089,146334,148039,149009,150399,151463,152600,153087,154154,155092,155781,156628,157815,158832,159606,159659,160139,161545,162068,162529,163320,163857,164166,164450,164799,165297,165742,166111,166576,166867,167103,8882190
NM,1155995,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,13,13,21,23,28,35,43,57,65,82,95,112,136,194,208,234,281,315,362,403,494,545,626,688,796,865,989,1090,1174,1245,1345,1345,1345,1597,1711,1798,1845,1971,1971,2210,2376,2521,2660,2724,2823,2974,3213,3411,3513,3732,3849,4029,4136,4287,4490,4660,4759,4844,5034,5160,5300,5434,5584,5584,5623,6090,6187,6313,6468,6621,6791,6939,7022,7128,7250,7360,7488,7622,7688,7795,8020,8136,8349,8669,8797,8937,9059,9104,9248,9365,9523,9619,9721,9845,2096829
NV,544774,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,7,7,11,20,21,26,45,55,55,91,153,158,194,249,281,408,536,520,637,926,1009,1113,1279,1458,1551,1752,1836,1953,2098,2318,2456,2624,2624,2624,2624,2624,2624,3324,3461,3629,3727,3815,3945,4092,4225,4373,4547,4642,4726,4802,4951,5040,5075,5407,5490,5490,5640,5754,5718,5721,6069,6135,6158,6300,6494,6593,6758,6835,6903,6903,7153,7153,7493,7501,7782,7899,7974,8076,8137,8232,8370,8515,8612,8707,8719,8873,9129,9279,9506,9647,9784,10039,10155,10462,10678,10987,11194,11279,3080156
NY,2235845,2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,23,25,77,107,145,173,207,325,421,527,729,950,1544,3052,5637,7848,12208,15832,20911,25578,32968,38976,44813,53303,59240,67194,74447,82133,90390,103652,113892,122178,130830,138988,149476,159937,170512,180533,188694,195031,202208,213779,222284,229642,236732,242786,247512,251959,257607,263529,271659,282212,288114,292065,295175,299760,304441,308383,313046,316484,319022,321261,324047,327538,330476,333191,335464,337124,338554,340730,343120,345882,348301,350190,351440,352914,354439,356527,358223,359995,361584,362833,363905,365034,366802,368353,369729,370839,371780,373109,374154,375202,376277,377385,378166,378868,379551,380225,380961,381783,382699,383393,384013,19453561
OH,3439744,3471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,13,25,37,50,67,86,119,169,247,351,431,563,703,867,1137,1405,1651,1933,2197,2546,2902,3312,3738,4041,4442,4782,5148,5512,5878,6250,6604,6970,7280,7790,8410,9107,10214,11570,12913,13722,14114,14688,15154,15563,15943,16324,16766,17299,18018,18736,19333,19912,20473,20968,21574,22129,23015,23691,24079,24771,25250,25719,26355,26951,27471,27921,28446,28947,29430,30166,30794,31407,31909,32473,33002,33436,33913,34563,35029,35508,35978,36346,36791,37279,37756,38108,38475,38834,39158,39572,39992,40422,40849,41148,41577,11689100
OK,3085929,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4,8,10,17,29,43,49,53,67,81,106,164,243,243,377,429,480,566,720,877,987,1157,1251,1325,1469,1522,1681,1790,1868,1970,2063,2182,2261,2355,2355,2355,2355,2355,2805,2893,3015,3015,3192,3251,3279,3408,3473,3617,3748,3851,3971,4043,4122,4197,4325,4416,4479,4577,4603,4725,4851,4959,5082,5237,5308,5395,5487,5532,5678,5849,5955,6033,6088,6134,6224,6268,6336,6418,6418,6526,6689,6804,6904,7003,7060,7150,7204,7361,7479,7626,7845,8074,8232,8418,3956971
OR,1477296,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,6,14,14,15,19,24,30,36,39,47,65,74,88,114,137,161,190,209,265,315,414,479,548,605,689,735,825,898,999,1067,1132,1181,1239,1321,1371,1447,1527,1583,1633,1663,1736,1784,1842,1909,1954,2002,2059,2126,2177,2253,2311,2353,2385,2446,2510,2578,2635,2680,2759,2838,2915,2987,3066,3157,3224,3282,3350,3407,3474,3532,3606,3618,3680,3721,3794,3812,3860,3884,3922,3945,3964,4034,4082,4130,4185,4243,4301,4334,4398,4473,4569,4661,4804,4918,4988,5059,5235,5377,5535,5636,5820,4217737
PA,2818489,2856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,12,14,19,22,41,47,76,75,95,132,184,268,371,478,644,851,1195,1687,2218,2750,3393,4082,4839,5805,7016,8420,10016,11496,12973,14559,16239,18228,19978,21655,22833,24196,25345,26490,27734,29439,31066,32283,33231,34522,35679,37053,38652,40046,41164,42048,43262,44366,45759,46968,48300,49260,50084,50949,51834,52903,54226,55304,56597,57141,57976,58695,59633,60622,61610,62233,63050,63666,64408,65382,66249,66979,67707,68181,68633,69417,70042,70734,71415,71925,72280,72890,73404,73935,74385,75086,75589,75942,76435,76843,77312,77998,78461,78798,79121,12801989
RI,220025,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,5,5,5,14,20,20,21,23,33,44,44,66,83,106,106,132,165,203,239,267,406,485,563,651,705,806,922,1082,1229,1439,1712,2015,2348,2665,2976,3251,3529,3838,4177,4491,4707,5090,5361,5841,6194,6511,6875,7274,7491,7603,8123,8477,8755,9044,9288,9416,10296,10296,10530,10779,10989,11274,11441,11614,11835,12016,12219,12434,12674,12795,12951,13356,13571,13736,13952,14065,14065,14210,14352,14494,14635,14819,14928,14991,15112,15219,15325,15441,15441,15441,15642,15691,15756,15862,15947,15947,15947,16093,1059361
SC,2072116,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,9,10,12,13,13,19,28,33,47,60,80,124,171,193,297,340,424,453,539,660,774,925,1083,1293,1553,1699,1913,2048,2230,2417,2552,2792,3064,3064,3318,3438,3553,3656,3917,4080,4240,4369,4434,4605,4758,4916,5068,5243,5243,5611,5734,5881,6095,6254,6485,6617,6748,6836,6935,7139,7364,7528,7649,7780,7902,8026,8189,8401,8658,8811,8934,9050,9172,9378,9636,9895,10092,10177,10415,10622,10788,11131,11829,11859,12143,12412,12647,12996,13441,13914,14284,14796,15220,15758,16437,17170,17955,18795,19378,5148714
SD,3040485,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,8,9,9,9,10,11,11,14,14,14,21,27,30,41,46,58,68,90,100,100,129,165,187,212,240,285,320,393,447,534,626,729,867,987,1167,1310,1410,1540,1634,1634,1754,1857,1955,2038,2146,2211,2243,2311,2372,2448,2523,2586,2629,2666,2719,2777,2904,3143,3391,3515,3612,3661,3729,3790,3885,3956,3985,4024,4082,4174,4246,4352,4464,4559,4582,4649,4702,4783,4862,4955,4989,5030,5062,5156,5242,5272,5367,5438,5471,5523,5603,5665,5742,5833,5898,5928,884659
TN,4474025,4512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,8,17,18,32,39,76,73,98,154,227,368,499,615,667,780,956,1201,1370,1579,1833,2238,2681,2844,3066,3319,3631,3800,4136,4361,4632,4859,5111,5302,5604,5816,6073,6260,6581,6753,7064,7232,7389,7835,8262,8722,9186,9662,9914,10049,10363,10731,11889,12659,13176,13528,13639,13929,14091,14436,14763,14983,15541,16107,16368,16696,16968,17285,17383,18003,18377,18530,18959,19032,19437,19753,20200,20555,20922,21289,22080,22562,22567,23108,23848,24258,24614,25079,25608,25895,26437,27072,27418,27898,28656,29081,29938,30618,6829174
TX,12256516,12240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,11,16,21,21,23,38,51,59,60,76,107,230,304,338,365,702,894,1211,1576,1915,2225,2663,3085,3604,4268,4954,5704,6363,7007,7583,8653,9717,10563,12033,12958,13735,14212,14624,15916,16836,17758,18257,19099,19455,20192,21061,21942,22802,23768,24617,25276,26111,26973,27991,29112,30394,31394,32179,33214,34246,35384,36607,37856,38842,39842,41015,42352,43777,45113,46911,47687,48577,49771,51035,52080,53407,54466,55306,55929,56559,57918,59770,60979,62329,64279,64871,66556,68255,69898,71592,73529,74955,75608,77554,80003,81818,83913,86253,88176,89450,28995881
UT,1421841,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,5,6,19,21,30,51,65,78,112,136,180,257,298,345,410,482,603,712,804,887,1013,1076,1244,1422,1605,1675,1739,1848,1979,2103,2206,2304,2362,2416,2550,2690,2812,2938,3068,3219,3302,3454,3620,3777,3952,4122,4239,4343,4500,4676,4832,4986,5176,5324,5453,5599,5727,5928,6107,6253,6369,6442,6622,6754,6914,7073,7239,7384,7529,7718,7874,8060,8260,8396,8524,8616,8715,8951,9282,9282,9336,10017,10233,10541,10854,11330,11859,11921,12384,12630,12893,13341,13643,14039,14391,14493,3205958
VA,6818111,6834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,9,9,37,37,40,45,67,77,94,114,152,219,254,290,391,460,604,739,890,1020,1250,1484,1706,2012,2407,2637,2878,3333,3645,4042,4509,5076,5273,5746,6170,6499,6888,7490,8052,8536,8989,9629,10265,10998,12374,12970,12970,13545,14346,14966,15852,16905,17740,18674,19494,20264,20264,21576,22346,23196,24080,25066,25798,26743,27810,28672,29680,30384,31137,32136,32900,34131,34947,35748,36243,37724,39332,40245,41399,42530,43608,44604,45395,46226,46899,47850,48526,49385,50408,51231,51726,52167,52644,53206,53868,54505,54886,8535519
VT,700196,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,4,8,12,18,21,33,49,53,76,95,123,158,184,211,234,256,292,320,338,389,461,512,543,575,605,628,679,711,727,748,752,759,768,779,802,811,813,816,820,824,826,841,849,854,861,861,865,878,885,897,902,905,908,915,917,920,926,926,927,931,931,933,933,940,940,943,944,950,952,956,956,962,967,971,973,975,977,981,983,988,990,1025,1027,1046,1063,1075,1083,1094,1110,1119,1125,1127,1128,623989
WA,2068521,2120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,18,27,39,70,78,102,122,162,265,365,457,568,642,769,906,1006,1187,1376,1524,1790,1996,2221,2455,2581,3206,3759,4289,4896,5414,5662,6264,6818,7119,7655,8017,8383,8681,9096,9606,9884,10223,10411,10537,10693,10778,11148,11444,11800,11789,12084,12280,12494,12752,12977,13316,13520,13686,13841,14070,14326,14634,15001,15181,15459,15593,15904,16230,16387,16672,16890,17120,17326,17509,17771,17950,18287,18431,18608,18808,18969,19115,19264,19584,19827,20064,20180,20405,20760,21069,21347,21694,21976,22155,22481,22727,22991,23441,23728,24039,24353,24628,24779,25171,25538,25832,26158,7614893
WI,3965119,4015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,19,27,33,47,72,106,155,206,281,381,410,455,584,707,842,989,1112,1221,1351,1549,1730,1916,2112,2266,2438,2578,2756,2885,3068,3213,3341,3427,3555,3721,3874,4044,4195,4342,4498,4620,4845,5050,5354,5686,5911,6081,6289,6519,6853,7313,7660,7964,8236,8565,8899,9215,9590,9938,10217,10418,10610,10902,11274,11684,12185,12541,12685,12883,13408,13883,14394,14875,15276,15583,15860,16461,16972,17704,18227,18400,18538,18917,19394,19889,20248,20571,20834,21033,21308,21593,21922,22241,22516,22758,22932,5822434
WV,2973025,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,12,16,20,38,49,49,96,113,123,145,162,189,217,237,281,320,345,412,479,520,573,591,607,631,689,718,722,773,822,887,906,928,960,980,1019,1025,1050,1076,1092,1107,1124,1151,1181,1191,1220,1238,1272,1293,1321,1345,1357,1366,1375,1402,1426,1452,1452,1479,1481,1504,1538,1589,1612,1705,1745,1761,1783,1783,1901,1941,1968,1995,2009,2036,2066,2088,2108,2127,2133,2151,2167,2183,2208,2230,2257,2288,2298,1792147
WY,1288529,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,10,15,18,18,22,24,26,29,37,49,55,73,84,85,95,120,137,153,166,187,199,212,221,230,239,252,261,270,275,282,288,296,305,309,313,317,322,326,331,348,360,367,388,394,403,414,419,429,435,444,452,479,483,490,495,504,510,512,523,529,541,559,566,577,775,787,800,802,813,837,843,850,860,876,891,897,903,910,912,915,921,932,938,946,957,969,979,1008,1027,1050,1058,1079,578759
